!
!Date: 04/10/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
CYC3	YAL039C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
CMC2	YBL059C-A	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
MIX23	YBL107C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with IPR016805	computational	InterPro	2024-03-12	DDB, et al. (2001)
MIX23	YBL107C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with IPR019171	computational	InterPro	2024-03-12	DDB, et al. (2001)
MIX23	YBL107C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
PDX3	YBR035C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
MRX18	YBR056W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
TIM12	YBR091C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
PRD1	YCL057W	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with PTN000211242	computational	GO_Central	2023-06-02	Gaudet P, et al (2010)
PRD1	YCL057W	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with PRD1	computational	GO_Central	2023-06-02	Gaudet P, et al (2010)
PTC6	YCR079W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
NDE2	YDL085W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
MIX14	YDR031W	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with PTN005333175	computational	GO_Central	2022-03-25	Gaudet P, et al (2010)
MIX14	YDR031W	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with MIX14	computational	GO_Central	2022-03-25	Gaudet P, et al (2010)
MIX14	YDR031W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
TGL2	YDR058C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
CPR1	YDR155C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
UPS3	YDR185C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with PTN000125772	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
UPS3	YDR185C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with UPS3	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
UPS3	YDR185C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with UPS2	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
UPS3	YDR185C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with UPS1	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
UPS3	YDR185C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with Q9Y255	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
UPS3	YDR185C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with IPR037365	computational	InterPro	2024-03-12	DDB, et al. (2001)
UPS3	YDR185C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
ADK1	YDR226W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
ADK1	YDR226W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with UR000165914	computational	UniProt	2024-03-12	UniProt Curators (2015)
TRR1	YDR353W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
CYM1	YDR430C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
RIB3	YDR487C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with PTN001084664	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
RIB3	YDR487C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with RIB3	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
RIB3	YDR487C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
SDH7	YDR511W	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with PTN000320077	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
SDH7	YDR511W	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with SDH7	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
SDH7	YDR511W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
TIM9	YEL020W-A	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
CYC7	YEL039C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with PTN000238899	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
CYC7	YEL039C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with CYC7	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
CYC7	YEL039C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with CYC1	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
CYC7	YEL039C	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with P99999	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
CYC7	YEL039C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
HMF1	YER057C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
ERV1	YGR029W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
TIM13	YGR181W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
TIM10	YHR005C-A	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
COX23	YHR116W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
GUT2	YIL155C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
ATG44	YIL156W-B	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
POT1	YIL160C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
HYR1	YIR037W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
ATP12	YJL180C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
PET191	YJR034W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
CYC1	YJR048W	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with PTN000238899	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
CYC1	YJR048W	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with CYC7	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
CYC1	YJR048W	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with CYC1	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
CYC1	YJR048W	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with P99999	computational	GO_Central	2017-02-28	Gaudet P, et al (2010)
CYC1	YJR048W	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
SOD1	YJR104C	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
TIM8	YJR135W-A	located in	GO:0005758	mitochondrial intermembrane space	cellular component		IEA with SL-0169	computational	UniProt	2024-03-12	UniProt-GOA (2012)
MDM35	YKL053C-A	is active in	GO:0005758	mitochondrial intermembrane space	cellular component		IBA with PTN005302567	computational	GO_Central	2022-03-30	Gaudet P, et al (2010)
