!
!Date: 04/07/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
UTP-A complex	CPX-1409	located in	GO:0005730	nucleolus	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Hunziker M, et al. (2016) PMID:27354316
UTP-B complex	CPX-1410	located in	GO:0005730	nucleolus	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Hunziker M, et al. (2016) PMID:27354316
Small ribosomal subunit processome	CPX-1604	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	ComplexPortal	2018-03-27	Chaker-Margot M, et al. (2017) PMID:27980088
RCL1-BMS1 40S ribosomal subunit maturation complex	CPX-1606	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	ComplexPortal	2018-12-05	Delprato A, et al. (2014) PMID:25064857
RENT complex	CPX-1669	located in	GO:0005730	nucleolus	cellular component		BSR	manually curated	ComplexPortal	2014-10-16	Shou W, et al. (1999) PMID:10219244
DBF2-MOB1 kinase complex	CPX-1683	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2021-10-26	Zhou X, et al. (2021) PMID:33481703
NOC1-NOC2 pre-ribosome maturation complex	CPX-1733	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	ComplexPortal	2014-10-16	Milkereit P, et al. (2001) PMID:11371346
LSM2-7 complex	CPX-46	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	ComplexPortal	2015-06-29	Fernandez CF, et al. (2004) PMID:15075370
Nuclear/nucleolar exosome complex, DIS3-RRP6 variant	CPX-599	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	ComplexPortal	2016-09-13	Shiomi T, et al. (1998) PMID:9562621
Cytoplasmic exosome complex, DIS3 variant	CPX-603	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	ComplexPortal	2016-09-13	Shiomi T, et al. (1998) PMID:9562621
MAK16	YAL025C	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2002-09-25	Milhon JL, et al. (2000) PMID:10838225
ECM1	YAL059W	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2004-01-27	Bassler J, et al. (2001) PMID:11583615
UTP20	YBL004W	located in	GO:0005730	nucleolus	cellular component		HDA	manually curated	SGD	2018-11-19	Huh WK, et al. (2003) PMID:14562095
UTP20	YBL004W	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2006-03-15	Bernstein KA, et al. (2004) PMID:15590835
UTP20	YBL004W	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2007-07-30	Dez C, et al. (2007) PMID:17652137
RRN10	YBL025W	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2012-03-15	Ha CW, et al. (2012) PMID:22362748
LSM2	YBL026W	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2005-02-22	Fernandez CF, et al. (2004) PMID:15075370
YBL028C	YBL028C	located in	GO:0005730	nucleolus	cellular component		HDA	manually curated	SGD	2018-11-19	Huh WK, et al. (2003) PMID:14562095
BMT2	YBR141C	located in	GO:0005730	nucleolus	cellular component		HDA	manually curated	SGD	2018-11-19	Huh WK, et al. (2003) PMID:14562095
BMT2	YBR141C	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2013-04-23	Sharma S, et al. (2013) PMID:23558746
MAK5	YBR142W	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2004-03-25	Zagulski M, et al. (2003) PMID:13680366
PCH2	YBR186W	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2009-10-30	San-Segundo PA and Roeder GS (2000) PMID:11029058
ENP1	YBR247C	located in	GO:0005730	nucleolus	cellular component		IDA	manually curated	SGD	2008-04-07	Grandi P, et al. (2002) PMID:12150911
