!
!Date: 04/07/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
Ribonucleoside-diphosphate reductase variant 1	CPX-1102	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2019-09-27	Lee YD, et al. (2008) PMID:18851834
Ribonucleoside-diphosphate reductase variant 2	CPX-1103	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2019-09-27	Xu H, et al. (2006) PMID:16537480
Cytoplasmic dynein complex	CPX-1178	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Rao L, et al. (2013) PMID:23761070
LMA1 complex, TRX1 variant	CPX-1278	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Xu Z, et al. (1997) PMID:9015301
LMA1 complex, TRX2 variant	CPX-1279	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Xu Z, et al. (1997) PMID:9015301
Nascent polypeptide-associated complex, EGD1-EGD2 variant	CPX-1306	located in	GO:0005737	cytoplasm	cellular component		IDA	manually curated	ComplexPortal	2018-03-27	Reimann B, et al. (1999) PMID:10219998
Nonsense-mediated decay complex	CPX-1315	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Leeds P, et al. (1992) PMID:1569946
Peptide:N-glycanase-Rad23 complex	CPX-1320	located in	GO:0005737	cytoplasm	cellular component		IDA	manually curated	ComplexPortal	2018-12-05	Suzuki T, et al. (2001) PMID:11259433
SLAC complex	CPX-1344	located in	GO:0005737	cytoplasm	cellular component		IDA	manually curated	ComplexPortal	2018-03-27	Feliciano D and Di Pietro SM (2012) PMID:22973053
40S cytosolic small ribosomal subunit	CPX-1599	located in	GO:0005737	cytoplasm	cellular component		IDA	manually curated	ComplexPortal	2018-03-27	Gerbasi VR, et al. (2004) PMID:15340087
60S cytosolic large ribosomal subunit	CPX-1601	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2019-05-24	Warner JR, et al. (1985) PMID:3897837
Peroxisomal PEX7-PEX18 receptor complex	CPX-1905	located in	GO:0005737	cytoplasm	cellular component		IDA	manually curated	ComplexPortal	2020-10-26	Purdue PE, et al. (1998) PMID:9864360
Peroxisomal PEX7-PEX21 receptor complex	CPX-1906	located in	GO:0005737	cytoplasm	cellular component		BSR with CPX-1905	manually curated	ComplexPortal	2020-10-26	Birgit Meldal and Sandra Orchard (2018)
MMS2-UBC13 ubiquitin ligase complex	CPX-2541	is active in	GO:0005737	cytoplasm	cellular component		IDA	manually curated	SGD	2022-10-13	Li S, et al. (2022) PMID:36113412
U5 small nuclear ribonucleoprotein complex, AAR2 variant	CPX-30	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2016-04-01	Boon KL, et al. (2007) PMID:17934474
Sulfite reductase complex (NADPH)	CPX-3163	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2017-07-13	Kobayashi K and Yoshimoto A (1982) PMID:6751400
Atg17-Atg31-Atg29 complex	CPX-397	located in	GO:0005737	cytoplasm	cellular component		IDA	manually curated	ComplexPortal	2016-09-13	Ragusa MJ, et al. (2012) PMID:23219485
ERF1-ERF3 translation release factor  complex	CPX-435	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2016-08-15	Shoemaker CJ, et al. (2010) PMID:20947765
Carbamoyl-phosphate synthase arginine-specific	CPX-579	located in	GO:0005737	cytoplasm	cellular component		IDA	manually curated	ComplexPortal	2019-08-31	Piérard A and Schröter B (1978) PMID:206535
BOL2-GRX3 iron-sulfur cluster assembly complex	CPX-6864	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2021-10-13	Talib EA and Outten CE (2021) PMID:32910989
BOL2-GRX4 iron-sulfur cluster assembly complex	CPX-6865	located in	GO:0005737	cytoplasm	cellular component		BSR	manually curated	ComplexPortal	2021-10-13	Talib EA and Outten CE (2021) PMID:32910989
