!
!Date: 01/04/2026
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
DNF1-LEM3 P4-ATPase complex	CPX-1021	is active in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2024-09-19	Hua Z, et al. (2002) PMID:12221123
DNF1-LEM3 P4-ATPase complex	CPX-1021	is active in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2024-09-19	Kato U, et al. (2002) PMID:12133835
DNF2-LEM3 P4-ATPase complex	CPX-1022	is active in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2024-09-19	Hua Z, et al. (2002) PMID:12221123
DNF2-LEM3 P4-ATPase complex	CPX-1022	is active in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2024-09-19	Kato U, et al. (2002) PMID:12133835
OPY2-MSB2 osmosensory complex	CPX-1302	located in	GO:0005886	plasma membrane	cellular component		BSR	manually curated	ComplexPortal	2018-03-27	Yamamoto K, et al. (2016) PMID:26598606
Vesicular SNARE complex SSO1-SEC9-SNC1	CPX-1365	located in	GO:0005886	plasma membrane	cellular component		BSR	manually curated	ComplexPortal	2020-03-13	Mendonsa R and Engebrecht J (2009) PMID:19502581
Vesicular SNARE complex SSO2-SEC9-SNC1	CPX-1369	located in	GO:0005886	plasma membrane	cellular component		BSR	manually curated	ComplexPortal	2020-03-13	Mendonsa R and Engebrecht J (2009) PMID:19502581
Ste4-Ste18 heterodimer	CPX-1645	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	ComplexPortal	2014-10-16	Clark KL, et al. (1993) PMID:8417317
TORC2 complex	CPX-1717	is active in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2025-03-21	Riggi M, et al. (2019) PMID:31123183
Exocyst complex	CPX-1890	is active in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2025-07-14	Rossi G, et al. (2024) PMID:38198574
VPS4 complex	CPX-334	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	ComplexPortal	2018-03-07	Wollert T, et al. (2009) PMID:19234443
MIH complex	CPX-3503	located in	GO:0005886	plasma membrane	cellular component		BSR	manually curated	ComplexPortal	2018-06-22	Tian C, et al. (2014) PMID:24895401
Vesicular SNARE complex SSO1-SEC9-SNC2	CPX-5463	located in	GO:0005886	plasma membrane	cellular component		BSR	manually curated	ComplexPortal	2020-03-13	Mendonsa R and Engebrecht J (2009) PMID:19502581
Vesicular SNARE complex SSO2-SEC9-SNC2	CPX-5465	located in	GO:0005886	plasma membrane	cellular component		BSR	manually curated	ComplexPortal	2020-03-13	Brennwald P, et al. (1994) PMID:7954793
Vacuolar SNARE complex SSO1-SEC9-NYV1	CPX-5521	located in	GO:0005886	plasma membrane	cellular component		BSR	manually curated	ComplexPortal	2020-03-13	Mendonsa R and Engebrecht J (2009) PMID:19502581
FET3-FTR1 high affinity iron permease complex	CPX-868	located in	GO:0005886	plasma membrane	cellular component		BSR	manually curated	ComplexPortal	2017-01-31	Kwok EY, et al. (2006) PMID:16700543
SSA1	YAL005C	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
SNC1	YAL030W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2022-09-29	Laidlaw KME, et al. (2022) PMID:36125415
SNC1	YAL030W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Lewis MJ, et al. (2000) PMID:10637288
CDC19	YAL038W	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
GPB2	YAL056W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Harashima T and Heitman J (2005) PMID:16030250
SEO1	YAL067C	is active in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2025-04-29	Dubey P, et al. (2025) PMID:40288644
PRM9	YAR031W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Poirey R, et al. (2002) PMID:12101299
MST28	YAR033W	located in	GO:0005886	plasma membrane	cellular component		IMP	manually curated	SGD	2013-08-07	Poirey R, et al. (2002) PMID:12101299
YBL029C-A	YBL029C-A	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
FUI1	YBL042C	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-20	Tkach JM, et al. (2012) PMID:22842922
FUI1	YBL042C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Zhang J, et al. (2006) PMID:16854981
FUI1	YBL042C	located in	GO:0005886	plasma membrane	cellular component		IMP	manually curated	SGD	2013-08-07	Vickers MF, et al. (2000) PMID:10827169
AST1	YBL069W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Bagnat M, et al. (2001) PMID:11739806
BOI1	YBL085W	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-20	Tkach JM, et al. (2012) PMID:22842922
PKC1	YBL105C	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
SRO77	YBL106C	located in	GO:0005886	plasma membrane	cellular component		IPI with SRO7	manually curated	SGD	2019-02-28	Lehman K, et al. (1999) PMID:10402465
RCR1	YBR005W	is active in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2020-06-04	Zhu L, et al. (2020) PMID:32421152
FLR1	YBR008C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Jungwirth H, et al. (2000) PMID:10903515
CPP1	YBR016W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2024-01-08	Giolito ML, et al. (2024) PMID:38159851
CPP1	YBR016W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Beilharz T, et al. (2003) PMID:12514182
FUR4	YBR021W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Urban-Grimal D, et al. (1995) PMID:8948441
QDR3	YBR043C	is active in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2021-12-16	Kapetanakis GC, et al. (2021) PMID:34887841
QDR3	YBR043C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Tenreiro S, et al. (2005) PMID:15649438
YRO2	YBR054W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2016-01-13	Takabatake A, et al. (2015) PMID:25503505
BAP2	YBR068C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2019-04-18	Regenberg B, et al. (1999) PMID:10654085
TAT1	YBR069C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Suzuki A, et al. (2013) PMID:23666621
ECM33	YBR078W	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
ECM33	YBR078W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Terashima H, et al. (2003) PMID:12583915
IST2	YBR086C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Takizawa PA, et al. (2000) PMID:11030653
IST2	YBR086C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Franz A, et al. (2007) PMID:17234190
OPY1	YBR129C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2017-05-30	Ling Y, et al. (2012) PMID:22562153
AGP2	YBR132C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2022-08-26	van Roermund CW, et al. (1999) PMID:10545096
PGI1	YBR196C	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
SUL1	YBR294W	located in	GO:0005886	plasma membrane	cellular component		IMP	manually curated	SGD	2013-08-07	Smith FW, et al. (1995) PMID:7616962
PCA1	YBR295W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Adle DJ, et al. (2007) PMID:17107946
PCA1	YBR295W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2022-08-26	Smith N, et al. (2016) PMID:27226596
PHO89	YBR296C	located in	GO:0005886	plasma membrane	cellular component		IMP	manually curated	SGD	2013-08-07	Martinez P and Persson BL (1998) PMID:9671031
MAL32	YBR299W	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
AGP1	YCL025C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2019-04-04	Popov-Čeleketić D, et al. (2016) PMID:27226538
FUS1	YCL027W	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2022-08-26	Trueheart J and Fink GR (1989) PMID:2690078
GLK1	YCL040W	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
GEX1	YCL073C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Dhaoui M, et al. (2011) PMID:21490148
YCP4	YCR004C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2024-06-18	Megarioti AH, et al. (2023) PMID:38096056
YCP4	YCR004C	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
ADY2	YCR010C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Ricicová M, et al. (2007) PMID:17395151
ADY2	YCR010C	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
PGK1	YCR012W	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
CWH43	YCR017C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2022-08-26	Martin-Yken H, et al. (2001) PMID:11427965
HSP30	YCR021C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Panaretou B and Piper PW (1992) PMID:1535043
HSP30	YCR021C	located in	GO:0005886	plasma membrane	cellular component		HDA	manually curated	SGD	2018-11-19	Delom F, et al. (2006) PMID:16622836
PMP1	YCR024C-A	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Navarre C, et al. (1992) PMID:1532582
PMP1	YCR024C-A	is active in	GO:0005886	plasma membrane	cellular component		IGI with PMP2	manually curated	SGD	2021-10-20	Navarre C, et al. (1994) PMID:8063750
FEN2	YCR028C	located in	GO:0005886	plasma membrane	cellular component		IMP	manually curated	SGD	2019-03-12	Stolz J and Sauer N (1999) PMID:10373490
PHO87	YCR037C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Ghillebert R, et al. (2011) PMID:21143198
ERS1	YCR075C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2016-07-01	Simpkins JA, et al. (2016) PMID:27142334
GIT1	YCR098C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-10-24	Almaguer C, et al. (2006) PMID:16924500
GIT1	YCR098C	located in	GO:0005886	plasma membrane	cellular component		IMP	manually curated	SGD	2013-08-07	Patton-Vogt JL and Henry SA (1998) PMID:9691030
YDL012C	YDL012C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Beilharz T, et al. (2003) PMID:12514182
OSH2	YDL019C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Levine TP and Munro S (2001) PMID:11408574
OSH2	YDL019C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2015-01-23	Weber-Boyvat M, et al. (2015) PMID:25420878
GPR1	YDL035C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Xue Y, et al. (1998) PMID:9524122
GPR1	YDL035C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Yun CW, et al. (1997) PMID:9388468
GPR1	YDL035C	located in	GO:0005886	plasma membrane	cellular component		IDA	manually curated	SGD	2013-08-07	Lorenz MC, et al. (2000) PMID:10655215
