!
!Date: 01/19/2026
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
1,3-beta-D-glucan synthase complex, FKS1-RHO1 variant	CPX-1812	located in	GO:0009277	fungal-type cell wall	cellular component		BSR	manually curated	ComplexPortal	2020-08-26	Qadota H, et al. (1996) PMID:8602515
SSA1	YAL005C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	López-Ribot JL and Chaffin WL (1996) PMID:8755907
FLO9	YAL063C	located in	GO:0009277	fungal-type cell wall	cellular component		ISS with FLO1	manually curated	SGD	2014-10-02	Teunissen AW and Steensma HY (1995) PMID:7502576
FLO1	YAR050W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Bony M, et al. (1998) PMID:9483793
FLO1	YAR050W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Breinig F and Schmitt MJ (2002) PMID:11956747
FIG1	YBR040W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Erdman S, et al. (1998) PMID:9456310
TIP1	YBR067C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Fujii T, et al. (1999) PMID:10216230
TIP1	YBR067C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Yin QY, et al. (2005) PMID:15781460
ECM33	YBR078W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Yin QY, et al. (2005) PMID:15781460
PHO5	YBR093C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Haguenauer-Tsapis R, et al. (1986) PMID:3537693
TOS1	YBR162C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Terashima H, et al. (2002) PMID:11935221
TOS1	YBR162C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Yin QY, et al. (2005) PMID:15781460
PAU24	YBR301W	located in	GO:0009277	fungal-type cell wall	cellular component		ISS with TIR1	manually curated	SGD	2019-04-25	Abramova N, et al. (2001) PMID:11292809
PAU24	YBR301W	located in	GO:0009277	fungal-type cell wall	cellular component		ISS with TIR4	manually curated	SGD	2019-04-25	Abramova N, et al. (2001) PMID:11292809
PAU24	YBR301W	located in	GO:0009277	fungal-type cell wall	cellular component		ISS with TIR3	manually curated	SGD	2019-04-25	Abramova N, et al. (2001) PMID:11292809
FIG2	YCR089W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Erdman S, et al. (1998) PMID:9456310
DIA3	YDL024C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Terashima H, et al. (2002) PMID:11935221
PST1	YDR055W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Pardo M, et al. (2004) PMID:15583168
PST1	YDR055W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Hamada K, et al. (1999) PMID:10383953
SED1	YDR077W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Hamada K, et al. (1998) PMID:9613572
CCW22	YDR134C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-08	Hamada K, et al. (1999) PMID:10383953
MKC7	YDR144C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Hamada K, et al. (1999) PMID:10383953
EXG2	YDR261C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Larriba G, et al. (1995) PMID:7875558
SPS2	YDR522C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Hamada K, et al. (1999) PMID:10383953
FIT1	YDR534C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Hamada K, et al. (1999) PMID:10383953
UTR2	YEL040W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Hamada K, et al. (1999) PMID:10383953
UTR2	YEL040W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Yin QY, et al. (2005) PMID:15781460
TIR1	YER011W	is active in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2021-08-24	Yin QY, et al. (2005) PMID:15781460
TIR1	YER011W	is active in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2021-08-24	Donzeau M, et al. (1996) PMID:8733242
SPI1	YER150W	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Hamada K, et al. (1998) PMID:9613572
SCW11	YGL028C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Cappellaro C, et al. (1998) PMID:9748433
AGA2	YGL032C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Cappellaro C, et al. (1991) PMID:1756718
CRH1	YGR189C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Yin QY, et al. (2005) PMID:15781460
CRH1	YGR189C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Rodríguez-Peña JM, et al. (2000) PMID:10757808
TDH3	YGR192C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Delgado ML, et al. (2001) PMID:11158358
SCW4	YGR279C	located in	GO:0009277	fungal-type cell wall	cellular component		IDA	manually curated	SGD	2013-08-07	Cappellaro C, et al. (1998) PMID:9748433
