,chemostat_0.5_mean,chemostat_0.35_mean,chemostat_0.2_mean,chemostat_0.12_mean,chemostat_0.5_uncertainty,chemostat_0.35_uncertainty,chemostat_0.2_uncertainty,chemostat_0.12_uncertainty
P0A8T7,8.892991981436107e-06,8.144923700911258e-06,8.37047430503557e-06,7.902874957732543e-06,7.719117039886541e-07,1.4172167239585585e-07,7.52505640022698e-07,1.1617226187866838e-07
P0A8V2,9.758105218123928e-06,9.16408338451246e-06,9.292502392130373e-06,9.10147765965531e-06,8.079711120606613e-07,2.5201229307409267e-07,7.926504540487206e-07,1.1285832297972584e-07
P36683,2.9270594737224742e-05,4.231392284722128e-05,3.950517208675114e-05,3.625575601442432e-05,1.4547485584400696e-06,1.3117316082638598e-06,2.0700710173457602e-06,3.3717853093414623e-07
P15254,4.251147840498222e-06,3.6130046160452495e-06,3.534039769856836e-06,3.2112015244919896e-06,3.796275021564912e-07,1.6005610449080458e-07,3.208908111030007e-07,1.0596965030823566e-07
P09831,4.318124349145022e-06,4.0912578282269625e-06,4.2634771337986766e-06,3.632688188904392e-06,3.4415451062685814e-07,2.160184133303836e-07,2.2937506979836883e-07,1.1406640913159791e-07
P0AFG8,1.0946938246604614e-05,1.1016531415976122e-05,1.0614156229767565e-05,1.2628794182456603e-05,9.118799559421642e-07,4.0540835610792136e-07,9.627039700399185e-07,1.5659704786246186e-07
P0A9Q7,1.9263188070248836e-05,1.5949431359963915e-05,1.886666871687195e-05,2.1098041845493308e-05,2.8182044146774045e-06,8.867883836139936e-07,2.0130735520902374e-06,8.207138277896898e-07
P0CE47,0.0003364062588057103,0.00029707460555987783,0.0002711147757505021,0.0002690428407693941,1.860326611195578e-05,4.634363846734095e-06,8.94678759976657e-06,7.3717738370813975e-06
P25665,5.061935686839196e-05,2.770944811889502e-05,1.9969250606922653e-05,1.1177299481886391e-05,1.8273587829489497e-06,1.1998191035481543e-06,6.330252442394482e-07,2.894920565808576e-07
P0A6F5,4.828634181719513e-05,4.950025168179452e-05,4.287791712596738e-05,4.473027226076619e-05,6.953233221676098e-07,1.4602574246129382e-06,9.904798856098462e-07,1.9815510611519417e-06
P00968,5.5813757205665935e-06,3.911651818411996e-06,3.3920041115315264e-06,2.942503775929083e-06,3.8623119986320825e-07,1.2673751891654868e-07,3.3648680786392747e-07,3.8546799464670985e-08
