Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )
P0AE70	MAZF_ECOLI	Endoribonuclease toxin MazF (EC 3.1.27.-) (Toxin MazF) (mRNA interferase MazF)	mazF chpA chpAK b2782 JW2753	Escherichia coli (strain K12)	111	"12,098"	chpA chpAK	mazF		b2782 JW2753
P0ACF8	HNS_ECOLI	DNA-binding protein H-NS (Heat-stable nucleoid-structuring protein) (Histone-like protein HLP-II) (Protein B1) (Protein H1)	hns bglY cur drdX hnsA msyA osmZ pilG topS b1237 JW1225	Escherichia coli (strain K12)	137	"15,540"	bglY cur drdX hnsA msyA osmZ pilG topS	hns		b1237 JW1225
P0A910	OMPA_ECOLI	Outer membrane protein A (OmpA) (Outer membrane porin A) (Outer membrane protein 3A) (Outer membrane protein B) (Outer membrane protein II*) (Outer membrane protein d)	ompA con tolG tut b0957 JW0940	Escherichia coli (strain K12)	346	"37,201"	con tolG tut	ompA		b0957 JW0940
P06616	ERA_ECOLI	GTPase Era (ERA) (GTP-binding protein Era)	era rbaA sdgE b2566 JW2550	Escherichia coli (strain K12)	301	"33,810"	rbaA sdgE	era		b2566 JW2550
P69913	CSRA_ECOLI	Carbon storage regulator (Translational dual regulator CsrA)	csrA zfiA b2696 JW2666	Escherichia coli (strain K12)	61	"6,856"	zfiA	csrA		b2696 JW2666
P0AFX7	RSEA_ECOLI	Anti-sigma-E factor RseA (Regulator of SigE) (Sigma-E anti-sigma factor RseA) (Sigma-E factor negative regulatory protein)	rseA mclA yfiJ b2572 JW2556	Escherichia coli (strain K12)	216	"24,321"	mclA yfiJ	rseA		b2572 JW2556
P0A9A6	FTSZ_ECOLI	Cell division protein FtsZ	ftsZ sfiB sulB b0095 JW0093	Escherichia coli (strain K12)	383	"40,324"	sfiB sulB	ftsZ		b0095 JW0093
P23837	PHOQ_ECOLI	Sensor protein PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)	phoQ b1129 JW1115	Escherichia coli (strain K12)	486	"55,300"		phoQ		b1129 JW1115
P0AE72	MAZE_ECOLI	Antitoxin MazE	mazE chpAI chpR b2783 JW2754	Escherichia coli (strain K12)	82	"9,356"	chpAI chpR	mazE		b2783 JW2754
P0AAI3	FTSH_ECOLI	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH)	ftsH hflB mrsC std tolZ b3178 JW3145	Escherichia coli (strain K12)	644	"70,708"	hflB mrsC std tolZ	ftsH		b3178 JW3145
P0AGB6	RPOE_ECOLI	ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor) (Sigma-24)	rpoE sigE b2573 JW2557	Escherichia coli (strain K12)	191	"21,696"	sigE	rpoE		b2573 JW2557
P0AFZ5	SULA_ECOLI	Cell division inhibitor SulA	sulA sfiA b0958 JW0941	Escherichia coli (strain K12)	169	"18,801"	sfiA	sulA		b0958 JW0941
